Thoi_Gian,Keo_Du_Doan,Tong_Von_Cuoc_USD
2026-02-22 20:05:34,Will the Indiana Pacers win the 2026 NBA Finals?,32928443.39317
2026-02-22 20:05:38,Will Jesus Christ return before GTA VI?,9484128.828925
2026-02-22 20:05:38,"Will Trump deport 250,000-500,000 people?",7511550.843689
2026-02-22 20:05:38,Will the Minnesota Wild win the 2026 NHL Stanley Cup?,7384912.639815
2026-02-22 20:05:38,Will the Los Angeles Clippers win the 2026 NBA Finals?,7321902.566751
2026-02-22 20:05:38,Will the Los Angeles Kings win the 2026 NHL Stanley Cup?,6109210.731384
2026-02-22 20:05:38,Will the Milwaukee Bucks win the 2026 NBA Finals?,5819257.064868
2026-02-22 20:05:38,Will Ahmed Aboutaleb become the next Prime Minister of the Netherlands?,5760943.756241
2026-02-22 20:05:38,Will GTA 6 cost $100+?,5444503.800253
2026-02-22 20:05:38,GTA VI released before June 2026?,5335736.739753
2026-02-22 20:05:38,Will the Miami Heat win the 2026 NBA Finals?,5164477.677118
2026-02-22 20:05:38,Will the Dallas Mavericks win the 2026 NBA Finals?,5038992.99993
2026-02-22 20:05:38,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,4469969.673205
2026-02-22 20:05:38,Will the San Antonio Spurs win the 2026 NBA Finals?,4196918.920705
2026-02-22 20:05:38,Will Rob Jetten become the next Prime Minister of the Netherlands?,4192997.965857
2026-02-22 20:05:38,Will the Oklahoma City Thunder win the 2026 NBA Finals?,4091738.475501
2026-02-22 20:05:38,Will the Boston Celtics win the 2026 NBA Finals?,4015978.584941
2026-02-22 20:05:38,Will the Detroit Pistons win the 2026 NBA Finals?,3848209.636391
2026-02-22 20:05:38,Will the New York Islanders win the 2026 NHL Stanley Cup?,3800545.583538
2026-02-22 20:05:38,Will the Orlando Magic win the 2026 NBA Finals?,3780791.634298
2026-02-22 20:05:38,Will the Los Angeles Lakers win the 2026 NBA Finals?,3422176.265219
2026-02-22 20:05:38,Will the Golden State Warriors win the 2026 NBA Finals?,3391793.939899
2026-02-22 20:05:38,Will the Minnesota Timberwolves win the 2026 NBA Finals?,3378930.137018
2026-02-22 20:05:38,Will bitcoin hit $1m before GTA VI?,3167765.191942
2026-02-22 20:05:38,Will Caroline van der Plas become the next Prime Minister of the Netherlands?,3094439.133671
2026-02-22 20:05:38,Will the Philadelphia 76ers win the 2026 NBA Finals?,3060221.549582
2026-02-22 20:05:38,Will the Cleveland Cavaliers win the 2026 NBA Finals?,3050813.098441
2026-02-22 20:05:38,Will the U.S. collect between $500b and $1t in revenue in 2025?,2604515.064793
2026-02-22 20:05:38,Will the New York Knicks win the 2026 NBA Finals?,2451452.840709
2026-02-22 20:05:38,Will the Denver Nuggets win the 2026 NBA Finals?,2403622.751725
2026-02-22 20:05:38,Will the Houston Rockets win the 2026 NBA Finals?,2292869.734471
2026-02-22 20:05:38,Will Geert Wilders become the next Prime Minister of the Netherlands?,2106207.163656
2026-02-22 20:05:38,Will the U.S. collect less than $100b in revenue in 2025?,1767202.258167
2026-02-22 20:05:38,Will Frans Timmermans become the next Prime Minister of the Netherlands?,1685929.661831
2026-02-22 20:05:38,Will Henri Bontenbal become the next Prime Minister of the Netherlands?,1647180.079759
2026-02-22 20:05:38,Will the U.S. collect between $100b and $200b in revenue in 2025?,1502545.546345
2026-02-22 20:05:38,Will China invades Taiwan before GTA VI?,1414048.060909
2026-02-22 20:05:38,Russia-Ukraine Ceasefire before GTA VI?,1337175.065509
2026-02-22 20:05:38,Will tariffs generate >$250b in 2025?,1328189.009231
2026-02-22 20:05:38,"Will Trump deport less than 250,000?",1203552.796676
2026-02-22 20:05:38,Will Nicolien van Vroonhoven-Kok become the next Prime Minister of the Netherlands?,1126491.208247
2026-02-22 20:05:38,Will the U.S. collect between $200b and $500b in revenue in 2025?,895772.206094
2026-02-22 20:05:38,Will the Vancouver Canucks win the 2026 NHL Stanley Cup?,837511.17115
2026-02-22 20:05:38,Will Dilan Yeşilgöz-Zegerius become the next Prime Minister of the Netherlands?,834453.708361
2026-02-22 20:05:38,Will Dick Schoof become the next Prime Minister of the Netherlands?,825907.025334
2026-02-22 20:05:38,Will the Calgary Flames win the 2026 NHL Stanley Cup?,785414.024079
2026-02-22 20:05:38,"Will Trump deport 750,000 or more people in 2025?",757166.591289
2026-02-22 20:05:38,Will the U.S. collect between $1t and $2t in revenue in 2025?,749393.146739
2026-02-22 20:05:38,New Playboi Carti Album before GTA VI?,675359.353132
2026-02-22 20:05:38,Will the U.S. collect more than $2t in revenue in 2025?,657409.767569
2026-02-22 20:05:38,New Rihanna Album before GTA VI?,639784.372885
2026-02-22 20:05:38,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,637776.440768
2026-02-22 20:05:38,Will the Nashville Predators win the 2026 NHL Stanley Cup?,631993.75852
2026-02-22 20:05:38,Will the Vegas Golden Knights win the 2026 NHL Stanley Cup?,597705.522458
2026-02-22 20:05:38,Will the Florida Panthers win the 2026 NHL Stanley Cup?,597597.631052
2026-02-22 20:05:38,Will the Pittsburgh Penguins win the 2026 NHL Stanley Cup?,580281.788
2026-02-22 20:05:38,Will the Toronto Maple Leafs win the 2026 NHL Stanley Cup?,541485.983352
2026-02-22 20:05:38,"Will Trump deport 500,000-750,000- people?",531681.404583
2026-02-22 20:05:38,"Will Trump deport 750,000-1,000,000 people?",518751.116417
2026-02-22 20:05:38,"Will Trump deport 1,000,000-1,250,000 people?",516011.460368
2026-02-22 20:05:38,Trump out as President before GTA VI?,513675.118315
2026-02-22 20:05:38,Will the Chicago Blackhawks win the 2026 NHL Stanley Cup?,495715.775757
2026-02-22 20:05:38,Will the Detroit Red Wings win the 2026 NHL Stanley Cup?,490650.735406
2026-02-22 20:05:38,"Will Trump deport 1,250,000-1,500,000 people?",474714.9135
2026-02-22 20:05:38,Will the Philadelphia Flyers win the 2026 NHL Stanley Cup?,460541.606758
2026-02-22 20:05:38,"Will Trump deport 1,500,000-1,750,000 people?",450858.599469
2026-02-22 20:05:38,Will the Utah Mammoth win the 2026 NHL Stanley Cup?,434809.491574
2026-02-22 20:05:38,Will the Boston Bruins win the 2026 NHL Stanley Cup?,430667.90214
2026-02-22 20:05:38,Will the San Jose Sharks win the 2026 NHL Stanley Cup?,398697.866048
2026-02-22 20:05:38,"Will Trump deport 2,000,000 or more people?",398520.967791
2026-02-22 20:05:38,"Will Trump deport 1,750,000-2,000,000 people?",396813.545299
2026-02-22 20:05:38,Will the Columbus Blue Jackets win the 2026 NHL Stanley Cup?,395540.690409
2026-02-22 20:05:38,Will Klaas Dijkhoff become the next Prime Minister of the Netherlands?,384239.511569
2026-02-22 20:05:38,Will the Seattle Kraken win the 2026 NHL Stanley Cup?,383519.634863
